count,replicate,ordering_fraction,dimension_estimate,longest_chain
64,47,0.5322420634920635,1.9162857147232737,14
64,48,0.4236111111111111,2.218573672870263,12
64,49,0.4871031746031746,2.034776993759899,14
64,50,0.4826388888888889,2.046999251835635,14
64,51,0.44047619047619047,2.167525174746079,12
64,52,0.5238095238095238,1.9377568250193957,16
64,53,0.4801587301587302,2.0538314640408726,12
64,54,0.5,2.0000000000000115,11
64,55,0.5198412698412699,1.9479618758706791,15
64,56,0.4816468253968254,2.049728502598605,13
64,57,0.4990079365079365,2.0026477456263705,13
64,58,0.4885912698412698,2.030724284186772,13
64,59,0.41517857142857145,2.2447723805511286,12
64,60,0.5148809523809523,1.9608112275610234,14
64,61,0.45188492063492064,2.1339549371626507,12
64,62,0.5625,1.8415147915548804,14
64,63,0.4756944444444444,2.066206420293432,14
64,64,0.4930555555555556,2.0186293436046885,13
64,65,0.5466269841269841,1.8803087688795739,14
64,66,0.5138888888888888,1.9633936701636712,15
64,67,0.5188492063492064,1.95052342081264,13
64,68,0.4722222222222222,2.075900845955258,10
64,69,0.48660714285714285,2.036130258703844,12
64,70,0.5376984126984127,1.9025445333561664,14
64,71,0.47371031746031744,2.0717385801890735,11
64,72,0.5654761904761905,1.8343421552825645,14
64,73,0.5302579365079365,1.9213118439095327,12
64,74,0.4965277777777778,2.009286831018831,14
64,75,0.4419642857142857,2.163103646683981,11
64,76,0.5525793650793651,1.8656526990998958,13
64,77,0.5029761904761905,1.992083567978433,14
64,78,0.48115079365079366,2.051094942451068,13
64,79,0.43898809523809523,2.1719598003924405,12
64,80,0.5267857142857143,1.930145765025203,16
64,81,0.5267857142857143,1.930145765025203,14
64,82,0.4037698412698413,2.2809770595584875,10
64,83,0.5124007936507936,1.9672752713621895,13
64,84,0.4965277777777778,2.009286831018831,11
64,85,0.5223214285714286,1.9415760433582674,14
64,86,0.41865079365079366,2.2339282984637423,12
64,87,0.4623015873015873,2.1039429545273687,12
64,88,0.4662698412698413,2.092664151191006,14
64,89,0.470734126984127,2.080074461306539,12
64,90,0.4990079365079365,2.0026477456263705,14
64,91,0.5406746031746031,1.8950985356023284,12
64,92,0.5009920634920635,1.997356734155794,11
64,93,0.4573412698412698,2.1181602201773204,12
64,94,0.4955357142857143,2.0119504030102346,13
64,95,0.49206349206349204,2.021308974409534,12
64,96,0.4930555555555556,2.0186293436046885,11
64,97,0.44990079365079366,2.13973968043307,12
64,98,0.46478174603174605,2.0968839146947356,12
64,99,0.5337301587301587,1.9125264391793941,13
128,0,0.4809301181102362,2.0517032365308374,18
128,1,0.5290354330708661,1.9244165313128785,23
128,2,0.5228838582677166,1.9401314809203707,23
128,3,0.50123031496063,1.9967225991467168,19
128,4,0.5036909448818898,1.9901883263662101,16
128,5,0.5258366141732284,1.9325689685047538,19
128,6,0.4953248031496063,2.0125172619079863,19
128,7,0.5047982283464567,1.9872567745500431,22
128,8,0.468503937007874,2.086350820240029,19
128,9,0.5547490157480315,1.8603431905491847,22
128,10,0.46973425196850394,2.0828851924058984,22
128,11,0.49138779527559057,2.0231367276930983,19
128,12,0.48511318897637795,2.040213206504392,18
128,13,0.4981545275590551,2.0049290308661694,19
128,14,0.4719488188976378,2.076666798679961,17
128,15,0.5052903543307087,1.9859556201259256,20
128,16,0.4431594488188976,2.15956192101584,18
128,17,0.43651574803149606,2.1793567676119645,18
128,18,0.5127952755905512,1.9662453600343843,17
128,19,0.5636072834645669,1.838842577916664,25
128,20,0.468996062992126,2.0849636252063077,17
128,21,0.5226377952755905,1.9407633154942177,19
128,22,0.484990157480315,2.0405499304718,17
128,23,0.5220226377952756,1.9423440014174596,22
128,24,0.4390994094488189,2.171627621181344,15
128,25,0.5228838582677166,1.9401314809203707,22
128,26,0.516486220472441,1.9566414679197008,18
128,27,0.45410925196850394,2.127496133953057,17
128,28,0.48843503937007876,2.03114926747846,19
128,29,0.51439468503937,1.9620765036052457,20
128,30,0.469365157480315,2.0839240552908214,16
128,31,0.5270669291338582,1.9294284852733197,19
128,32,0.5014763779527559,1.9960679426554517,18
128,33,0.5091043307086615,1.9759080719475919,21
128,34,0.5072588582677166,1.9807617647293985,20
128,35,0.48720472440944884,2.034500093303932,17
128,36,0.5054133858267716,1.9856305001085053,19
128,37,0.5249753937007874,1.9347709936942972,18
